review,sentiment
"Being an avid Carpenter Fan, I really loved this film (although the wigs do leave a lot to be desired!) and agree with many of the comments, that certain areas of her life were absent or not touched on. Whatever - it leaves your curiosity well and truly unsatisfied, so off I went to discover more. I must recommend a book by Ray Coleman - Carpenters - The Untold Story. The book is an intelligent read and unlike the film, is 'real' and down to earth. I hope you enjoy it. I remember Cynthia Gibb from her days in Fame and Gypsy. She is a singer (aswell as dancer) in her own right and I think this was the edge needed to create the character. Some other actresses may have struggled with this. It is ashame the film did not delve deeper into her story. After all this is the film title, but I felt we learnt more about Richard, but I suppose like any performer worth their salt, you should always leave them wanting more!",positive
"This film is not only the last piece of the Three Colours trilogy, but also the best of the three and one of the best movies of the 90s. There's hardly another movie that so wisely and consequently asks for humanity and respect for every human being. <br /><br />Valentine (Irene Jacob) lives in Geneva, where she works as a model. Though she has a boyfriend, she seems to be rather lonely. One night she has an accident and injures a dog and who leads her to his owner, a retired jugde (Jean-Louis Trintignant), who is cynical and spies his neighbors phone calls. Disgusted by him she cannot go away and they meet again. Two lonely souls meet each other and they become friends and develop a deep love for each other. <br /><br />The story itself is too complex to be told completely, there is another connection between them in a young man who represents both the judge and Valentines real love and there is more to their relationship than only friendship.<br /><br />The actors are wonderful, Irene Jacob and Jean-Louis Trintignant developing a deep and authentic friendship. <br /><br />The topics are of an endless validity, Fraternity, not only in contact with each other, but also in the respect for the right of privacy. Alarmingly we seem to loose this right more and more, which makes movies like this one even more important than it might have been in 1994.<br /><br />Red is one of the strongest colours that exists, representing inner turmoil, love, anger and passion. Used here as another protagonist, it brings a unmatched depth to the movie. A masterpiece!",positive
"The 100 black and white half-hour episodes of the early situation comedy ""Mr. Peepers"" were originally broadcast from 1952-55 on NBC. Like a lot of baby boomers this and ""Ding Dong School"" are my earliest memories of television. Since both ran later in syndication it is hard to tell how many of these memories are actually tied to the original broadcasts.<br /><br />""Mr. Peepers"" is worth checking out for more than its nostalgia value. It represents a very different style of situation comedy than shows like ""The Honeymooners"" and ""I Love Lucy"". The genre could have gone in two different directions in those days and ended up taking the loud abrasive path of those two shows; which is probably why they still seem contemporary. <br /><br />""Mr. Peepers"", which was differentiated by its intelligent restrained tone, may appear slow and dull in comparison. But it's really more a matter of adjusting to the different style. Once you get into the characters it will win over most intelligent viewers. Credit should be give to the show's producer, Fred Coe, a key figure in early television whose dramatic anthologies are also worth checking out (""Philco Television Playhouse"", ""Lights Out"", ""Playhouse 90"", ""Producers Showcase"", ""Playwrights 56"", ""Fireside Theatre"", etc.) even on kinescope.<br /><br />""Mr. Peepers"" offered a much more gentle style with Wally Cox (to be the voice of ""Underdog"" a few years later) in the title role, Robinson Peepers, a mild-mannered high school science teacher. His glasses were his trademark and a symbolic link to his name and role as a passive observer. <br /><br />The series provided Cox with an outstanding supporting cast. Tony Randall played his brash best friend, history teacher Harvey Weskit. Jack Warden played Frank Whip, the loud gym teacher whose mild bullying gave the show most of its conflict elements. <br /><br />There is some love interest competition involving the school's nurse, Nancy Remington (Patricia Benoit), with viewers quickly aligning with Mr. Peepers who seems a much better match for the gentle Nancy. Their on-screen marriage near the end 1953-54 season captured national attention, an early version of the ""Who Shot J.R.?"" frenzy.<br /><br />Then again, what do I know? I'm only a child.",positive
"I recently saw this movie for the first time. I enjoyed it so much that I went right out and bought the DVD. This movie is pure genius and only gets funnier with each viewing. Anyone can write jokes or funny dialog and have actors memorize them, but the basis of this movie is improve!! How do they do it? Thank you, Christopher Guest!",positive
"This is a film which should be seen by anybody interested in, effected by, or suffering from an eating disorder. It is an amazingly accurate and sensitive portrayal of bulimia in a teenage girl, its causes and its symptoms. The girl is played by one of the most brilliant young actresses working in cinema today, Alison Lohman, who was later so spectacular in 'Where the Truth Lies'. I would recommend that this film be shown in all schools, as you will never see a better on this subject. Alison Lohman is absolutely outstanding, and one marvels at her ability to convey the anguish of a girl suffering from this compulsive disorder. If barometers tell us the air pressure, Alison Lohman tells us the emotional pressure with the same degree of accuracy. Her emotional range is so precise, each scene could be measured microscopically for its gradations of trauma, on a scale of rising hysteria and desperation which reaches unbearable intensity. Mare Winningham is the perfect choice to play her mother, and does so with immense sympathy and a range of emotions just as finely tuned as Lohman's. Together, they make a pair of sensitive emotional oscillators vibrating in resonance with one another. This film is really an astonishing achievement, and director Katt Shea should be proud of it. The only reason for not seeing it is if you are not interested in people. But even if you like nature films best, this is after all animal behaviour at the sharp edge. Bulimia is an extreme version of how a tormented soul can destroy her own body in a frenzy of despair. And if we don't sympathise with people suffering from the depths of despair, then we are dead inside.",positive
"Personally, I disdain The Jerry Springer Show, however, I found ""Ringmaster"" to be the funniest movie I've seen this year. The never-ending satire of Jerry Springer ""guests"" starting in the opening scene keeps you laughing throughout the movie. Despite a brief scene in which Jerry Springer makes a feeble attempt at justifying his existence, I definitely recommend this movie for sheer entertainment value.",positive
"George Lopez never caught my interest in his stand up comedy and he still doesn't. But this show is a work of art. It's not ever show where the jokes keep you laughing every time you remember it (and jokes that re memorable at that). This show just has an upbeat look to it and the characters range from an old, short drunk to an dyslexic teenager. I don't know who writes this show but that person does a great job. If they had just continued the show I'm sure that it would get a positive response from the critics of this great country. If you are looking for a good, traditional comedy, then George Lopez is the show for you! The one bad thing is the title. George Lopez? Really? Imagine the Fresh Prince of Bel-Air being ""Will Smith"". C'mon man! But otherwise, this show is genius! 10/10",positive
"I agree with so many of the other reviewers here. This was a great film and an even better novel by Robert Fish. Unfortunately, I believe the author died before he could see this film made. The performances are all top rate, with the three principles (John Glover, Ben Cross, and Veronica Hamel) seemingly made for their roles. The exteriors, both in Europe and Israel, seem very authentic, and the 4-hour miniseries length was just right for the telling of this story. Fortunately, I DID tape this when it was on television and have enjoyed watching it ever since. I can say unhesitatingly that it holds up even to this day. I gave it a rating of 10. If you haven't read the book, you should really find a copy. This would be an outstanding film to release on DVD with extras that could easily include interviews from the cast.",positive
"I haven't laughed this hard at a movie in a long time. I got to go to an advance screening, and was thrilled because I had been dying to see it. I had tears in my eyes from laughter throughout a lot of the movie. The audience all shared my laughter, and was clapping and yelling throughout most of the movie.<br /><br />Kudos to Steve Carrell(who I had already been a fan of). He proves in this movie his tremendous talent for comedy. He has a style that I haven't seen before. And Catherine Keener is excellent as always. Thank God there wasn't a cameo from Will Ferrell(love him, but saw him too much this summer).<br /><br />There were parts of comedic genius in this movie. Partly thanks to Carrell, and partly thanks to the writing(also Carrell). The waxing scene and the speed dater with the ""obvious problem"" were absolutely hysterical.<br /><br />I will definitely go see '40 Year Old Virgin' when it's released. My advice: go to see it for huge laughs and an incredibly enjoyable movie on top of it.",positive
"Well this movie was probobly one of the funniest scary movie i have ever seen. The effects are so bad you just have to laugh, and the acting, well lets say its no mel gibson. But Gary Browning who plays an police officer is so damn bad, he becomes good. I dont know how but he him self makes this movie a 10. You must see it if your in to horror/slash movies cause its bloody and funny at the same time. Killer movie.",positive
"There is a certain genius behind this movie. I was laughing throughout. The scene in the phone sex office, discussing how love heals the doppelganger was a nice attempt at this genius/humor. Execution is poor, but you can see the writer's message and they do have some talent. The doppelganger split at the end was like... ""ok, wasn't quite expecting that but let's see what the movie has to say"". Certainly ridiculous, but a sweet idea and actually very coherent to the story in a strange way.<br /><br />Is the point of a movie to be logical or is it to be entertaining or communicate on an emotional level? i'm easily bored by many movies, but this one kept my interest throughout.<br /><br />I think the story may have some auto-biographical roots, but that's just a guess. Horribly bad, but good. I'm looking for other movies this person may have done (with more experience).",positive
"Not since The Simpsons made it's debut has there been a sitcom that I didn't want to turn of in a matter of 2 minutes. It has of course been said that The Simpsons killed the sitcom. Not this one though.<br /><br />The first season was so so as the teenage characters were not quite as outrageous as they later became. They even went to school sometimes. The following seasons the character where fledged out. Eric, the sarcastic twit, Donna, his levelheaded girlfriend, Kelso, the dim bulb, Hyde, the conspiracy theorist and anti-establishment punk, Fez, the pervert exchange student and finally Jackie, the spoiled rich floozy. As for the adult characters there was Eric's mom, the ""can you believe she is so ditzy"" suburban mom, Eric's dad, the straight arrow who of course wasn't such a hard ass as he seemed, Donna's goofy dad and her dumb blonde mom. Everybody are true to their characters but special kudos to Kurtwood Smith who finds the perfect balance between toughness and still makes his Red Forman quite sympathetic without making us throw up with unexpected cuteness.<br /><br />Topher Grace is of course the main reason why this show is so good. It's a tough character to play because it doesn't allow the actor to indulge in wild overacting like the Kelso character, played competently by Ashton Kutcher. I enjoyed seeing the two characters interact because they are the most different.<br /><br />Hyde's character is a bit harder to enjoy because he is more realistic and do we really need to see the orphan story for the umpteenth time, although I will say that the writers came up with a brilliant story arc for him in the last seasons.<br /><br />Jackie, played by Family Guy voice artist Mila Kunis is hilarious and she has a nails on a chalkboard type voice, which actually fits her character. The only sad part is that we didn't see more scenes with her and Eric because they were f...... hilarious together. Too much story was wasted on her relationship problems since we already got that in spades with Eric and Donna.<br /><br />Last I will say that the casting of guest actors were always great. A few favorites: Fez' humongous girlfriend in the mid-seasons, Pastor Dan, the totally awesome Leo played by the equally awesome Thomas Chong, another one of Fez' girlfriends who is totally certifiable and a special appearance by the teenage witch Sabrina as a slutty catholic girl.<br /><br />Coming up next on Fox, whatever.",positive
"If this film strikes you (as it did us and, apparently, others departing the theater) as disappointingly thin, it may be because the subject herself is mildly disappointing. The film faithfully presents us Bettie Page as she probably was: a playful almost-innocent from the rural South whose career as ""the pinup queen of the universe"" was for her just goofy, natural fun. Her eventual moral qualms, religious conversion and sudden departure from nude and bondage modeling are biographically accurate, yet hard to understand given how untroubled she seemed by her livelihood.<br /><br />There are many reasons to see this film even so, not least of which are the amazing b&w noir cinematography of W. Mott Hopfel III (complete with old fashioned wipes and dissolves), the 1950's-faithful acting of the cast under the direction of Mary Harron, pitch-perfect performances by some of our most underrated supporting actors (including Chris Bauer, Lili Taylor, Sarah Paulson, Austin Pendleton, Dallas Roberts and Victor Slezak), not to mention the Oscar-worthy and technically difficult lead performance of Gretchen Mol.<br /><br />Ms. Mol does several scenes fully naked and most others in amazing period lingerie and ""specialty"" costumes (gloriously assembled by costume designer John A. Dunn), yet she astonishingly maintains Bettie Page's unstudied pleasure in her lush body. To watch Ms. Mol as Ms. Page, an aspiring actress, progressing through degrees of progressively less ""bad"" auditions and student acting scenes is to see a truly fine actress in complete control of her craft.<br /><br />The script does effectively bring us into 1950's America, where childhood sexual abuse, lawless abduction and rape, and the legal suppression of brands of pornography which today seem laughably tame, is a reality. 50's New York is evoked with seamlessly-inter cut news reel footage. 50's Miami comes alive in super-saturated, 16mm-style color. The real Bettie Page seems to scamper, smile and pose before us, and yet the effect is curiously lightweight, barely lewd and not at all dangerous.<br /><br />How odd that bondage's greatest icon should be so lacking in venom, and that this technically excellent biopic should have so little sting.",positive
"This is the only Christopher Guest movie that rivals Spinal Tap and Princess Bride for sheer entertainment value, but somehow never gets near the recognition. The plot surrounds the contestants--dogs--and their owners as they venture into the world of competitive dog...OK, it's about a dog show. The owners truly are characters, as one would have to be to be so attached to their dogs. That's really all there is to it, but that makes it funny enough.<br /><br />You'd never be able to convince me that a mock-u-mentary about dog shows would be funny prior to catching the hilarious scene where Levy and O'hara visit Larry Miller's house on TV...but that's really all it takes to convert any doubters. Spinal Tap was non-stop hilarity, joke after joke whereas Best in Show was had a few more lulls (and by that I mean say 3 minute at MOST where something riotously funny doesn't happen), but the big laughs are even bigger.<br /><br />The casting in this one is great and even the typically out of place in, uh movies in general Parker Posey does a fine job. In fact, her tirade directed at Ed Begley Jr. and a pet store owner over a lost dog toy is probably the funniest running gag of the film.<br /><br />What's amazing about this movie to me is how the writers somehow managed to weave a plot, simple as it was, around these great jokes so that it actually felt like it had direction. I guess there's a freedom in having such a minimal plot. Everyone's role is pretty well crafted here and the characters are rarely over-the-top. The realism of how pathetic they seem to the outsider is what makes it funnier than Mighty Wind or the uneven Guffman. I actually encounter wierdos like this now and then. If you like Guest's stuff at all, you should definitely own this one.",positive
"People call this a comedy, but when I just watched it, I laughed<br /><br />only once. I guess the problem is that I first saw it when I was 14,<br /><br />and I wasn't old enough to understand that it wasn't meant to be<br /><br />taken seriously. There were quite a few scenes that were meant<br /><br />to be funny, but I cared too much about the characters to laugh at<br /><br />them.<br /><br />I suggest that you watch this film next time you're falling in love,<br /><br />and try to take it seriously. I think you'll find that, despite a few silly<br /><br />flaws, it's one of the most moving love stories you've ever seen.",positive
"Maybe it wasn't that good as a whole, but the second episode, which was the first one I say, was so memorable I still remember it today. I became a fan of Dick Francis. I would recommend it if you are interested in horse racing and mysteries.<br /><br />The cockney slang of the sidekick, Chico Barnes, is a lot more amusing to those of us who have never been close to hearing London's Bow Bells, but the leads are attractive and the shows were interesting.<br /><br />Sid Halley was one of Francis' more interesting characters, and the show actually minimizes some of the difficulties with his hand. Interestingly, electronic hands of the sort used in the stories are apparently less functional for the user than the sort invented after World War II.",positive
"This program is certainly my favorite non-sitcom television comedy. Australia produces very little good programs - most of the TV which I watch (and I live in Australia) is from the US and England.<br /><br />The funniest part of this show is just how controversial it is. Like when they went past numerous security barriers at the APEC summit pretending to be Canadian diplomats.<br /><br />The show is made up of pre-filmed stunts, general satirical discussion of current world events, and sometimes on-stage skits. These all come together to make a fabulous, extremely funny TV show. The segments like ""Ad Road-test"" and ""Message from Osama bin Ladin"" are hilarious. For anyone interested in watching hilarious satirical TV comedy - then this is definitely the show you should watch.<br /><br />All the guys are great and do an excellent job in entertaining you for half an hour.<br /><br />I would rate it 10/10.",positive
"In the eighties, Savage Steve Holland put out three movies, two of which are classics of what seems to be a very small genre, absurdist teen comedies. The third ""How I Got Into College"" does not measure up to ""Better Off Dead"" and this one, mainly because of it's lack of John Cusack and Curtis Armstrong (Except for a tiny cameo).<br /><br />One Crazy Summer is an underrated movie, with lots of great characterizations and gags. As I recall, Savage Steve's movies were vilified as being brain dead at the time and after three movies he drifted into children's TV. We could use more movies from the likes of him.",positive
"This is the best film version of Dicken's classic tale. I've seen it over and over on VHS, and recently acquired the DVD version, which is formatted for TV (not wide-screen). What I find interesting about this teleplay is the cast of English actors who are now recognizable since many have appeared in other films/shows in North America since 1984. My biggest surprise is Edward Woodward, ""the Equalizer"", as the Ghost of Christmas Present.",positive
"I borrowed this movie despite its extremely low rating, because I wanted to see how the crew manages to animate the presence of multiple worlds. As a matter of fact, they didn't - at least, so its seems. Some cameo appearance cut rather clumsily into the movie - that's it, this is what the majority of viewers think. However, the surprise comes at the end, and unfortunately then, when probably most of the viewers have already stopped this movie. I was also astonished when I saw that the Brazilian-Portuguese title of this movie means ""Voyage into Death"". This is THE spoiler.<br /><br />That this movie is about a young girl who goes ALONE onto this boat (on reasons that are completely unclear), you understand only in the last 5 minutes. When you start the movie with the English title ""Haunted Boat"" in your head, you clearly think that the cameo appearances of strange figures are the ""ghosts"". But in reality, this movie is not like most other horror movies told from the distant writer-watcher perspective who can at almost any time differentiate between different levels of reality, it is told from the perspective of the young girl. We see her not alone, but together with the four friends because SHE sees them. We do not see that she is alone. So, the parallel worlds are not the cameo appearances flickering into the picture-stream, but the main story! We have at least two parallel worlds: The world in which the girl is and the world in which the 4 friends are. An intrusion of a third world is probably the young man with the medical skills who comes for a short time on the boat.<br /><br />I cannot get rid of the deep conviction that with this movie, the movie-makers ""cheated"" an audience of several thousand people by letting them believe that what they have done is more or less a sophomore film-student elaborate with hastily ""chosen"" pseudo-actors that have met just the night before the start of the shooting in a dump after at least twelve beers. How mistaken can one be! But in addition to this big surprise which one learns only in the very last minutes, the end that follows gives another surprise. The girl is saved by a crew in a helicopter and another boat. When she has recovered from her shock, she visits again the place at the harbor where she ascended the boat together with the four friends. And there they are again! They wave her to them from the boat which has already taken off shore. She jumps into the water, arrives at the boat - and they are away. Miraculously beautiful. It remembers me a bit to the end of a poem by a Rhetoromance writer: When I awoke, I saw Death standing at my bed. But I closed my eyes. When I opened them again - he was gone.",positive
"I have to say that Higher Learning is one of the top 3 movies I have ever watched. It has a brilliant cast, and an equally brilliant director. Singleton shows how life in University can be. There are 3 main story lines, the skinheads, the African-Americans, and the homosexuals. I was intrigued by all of the stories, but the one that got to me the most was the storyline about Kristen, battling her feelings towards another girl. The end was great. After seeing the movie 25 times plus, I still cry. I would have given this movie an 11, but I have to settlefor 10/10.",positive
